P04;P50;P51;P52;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;V02;V03;V08;V27;VD_EDUCACAO;VD_REGIAO;VD_IDADE;P64
41;-1.0;-1.0;-1.0;-1.0;2;2;2;2;2;1;2;3;1;2;1;1;3;4;4;3;2
28;-1.0;-1.0;-1.0;-1.0;1;2;2;1;1;2;2;2;3;1;3;1;1;1;2;2;1
24;3.0;2.0;1.0;1.0;1;2;1;1;1;1;1;1;2;2;1;5;3;3;2;2;1
50;1.0;2.0;1.0;1.0;1;2;1;2;1;1;2;3;1;2;2;3;1;3;5;2;2
53;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;2;1;2;1;1;2;2;1;2;5;4;2
28;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;2;1;2;1;1;1;5;2;4;2;1;1
15;3.0;1.0;1.0;3.0;1;1;1;1;2;1;1;1;1;2;2;5;3;3;1;3;1
29;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;2;1;2;2;1;5;1;1;3;2;2;3
29;1.0;2.0;1.0;1.0;1;2;2;2;1;2;2;2;1;1;3;2;1;1;2;2;1
28;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;2;1;1;1;3;2;1;1;2;2;3
28;4.0;2.0;1.0;1.0;1;2;1;2;1;2;1;2;1;1;3;1;2;4;2;3;3
52;2.0;1.0;1.0;1.0;1;1;1;1;2;2;1;1;1;2;2;1;2;3;5;3;1
52;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;2;2;2;3;2;2;3;5;5;2
28;1.0;2.0;1.0;1.0;1;2;1;2;1;2;1;1;2;2;3;1;1;2;2;2;1
15;3.0;2.0;97.0;1.0;1;1;2;1;2;2;1;2;1;2;3;1;3;4;1;1;1
16;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;2;2;1;2;2;2;2;1;1;3;3
29;3.0;2.0;1.0;1.0;1;1;1;1;2;2;1;2;1;2;3;1;97;2;2;1;1
53;1.0;1.0;1.0;1.0;1;2;1;2;1;1;1;2;2;2;2;1;1;2;5;2;2
28;4.0;2.0;1.0;1.0;1;2;2;2;1;2;2;2;2;2;2;1;2;4;2;3;2
24;-1.0;-1.0;-1.0;-1.0;1;2;1;1;97;2;1;2;1;2;5;1;1;1;2;4;2
41;2.0;2.0;1.0;1.0;1;2;2;2;1;1;2;3;1;1;1;1;3;3;4;4;2
16;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;3;1;1;3;1;1;4;1;2;2
28;-1.0;-1.0;-1.0;-1.0;1;2;2;1;2;2;1;2;1;2;3;4;1;4;2;1;1
28;2.0;1.0;1.0;1.0;1;1;1;1;2;2;1;2;1;1;3;5;97;4;2;1;1
41;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;1;2;1;2;2;5;3;4;4;1;3
29;4.0;1.0;1.0;1.0;1;1;1;2;2;2;1;1;1;2;3;1;1;3;2;2;3
41;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;1;2;2;1;1;1;2;3;4;4;3;2
52;2.0;2.0;1.0;1.0;1;2;1;2;1;2;1;3;1;1;3;2;3;4;5;3;2
28;3.0;1.0;1.0;2.0;1;2;2;2;2;2;2;2;1;1;2;1;2;3;2;3;2
15;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;3;1;2;3;1;3;3;1;2;2
53;2.0;1.0;1.0;1.0;1;1;2;1;2;1;1;2;1;2;3;3;97;3;5;1;1
50;2.0;1.0;1.0;1.0;1;2;2;2;1;1;2;3;1;2;3;2;3;4;5;2;2
24;-1.0;-1.0;-1.0;-1.0;1;97;1;97;97;1;1;97;97;1;3;99;97;2;2;2;2
