"ID";"P01";"P02";"P03";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_1";"P13_2";"P13_3";"P14";"P15";"P16";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"VD_P19";"VD_IDADE";"VD_ESCOLARIDADE";"VD_RENDA";"VD_TIPOTEL";"W1";"W2"
"1";9;1;2;3;3;3;5;4;97;1;3;5;1;2;2;3;3;4;1;2;1;2;2;1;1;6;2;2;3;4;1;1;"1";"1.61133284053982";"196164"
"2";11;1;2;3;3;1;4;3;97;1;1;4;1;2;97;2;2;4;11;2;1;2;2;97;1;6;2;2;1;4;1;1;"2";"8.22664090825817";"1001513"
"3";12;1;2;1;2;1;5;3;97;1;1;3;1;2;1;3;2;3;1;2;1;2;2;1;1;3;5;2;3;1;3;1;"2";"8.22664090825817";"1001513"
"4";12;1;2;3;3;1;4;1;97;1;1;3;1;2;1;2;3;3;1;97;1;1;2;2;1;2;5;2;3;1;3;1;"2";"8.22664090825817";"1001513"
"5";11;1;1;2;2;1;2;2;2;1;1;3;1;2;2;2;2;3;11;2;1;2;1;1;1;3;6;1;1;1;4;1;"3";"0.45259396350953";"55098.8846153846"
"6";9;1;1;3;1;1;6;4;97;1;1;4;1;2;97;2;2;3;2;1;1;1;2;2;1;4;2;97;3;2;1;97;"3";"0.45259396350953";"55098.8846153846"
"7";9;1;1;3;3;3;5;2;3;2;2;5;1;2;1;3;3;5;1;2;1;1;2;2;1;3;3;2;3;1;2;1;"3";"0.45259396350953";"55098.8846153846"
"8";9;1;1;3;3;2;6;2;97;1;1;3;1;2;1;3;3;3;6;2;1;2;1;1;1;2;4;2;2;1;2;1;"3";"0.45259396350953";"55098.8846153846"
"9";9;1;1;3;3;2;4;1;3;1;2;5;1;2;2;3;2;4;1;2;1;1;2;1;1;6;6;3;3;4;4;2;"3";"0.45259396350953";"55098.8846153846"
"10";9;1;1;3;3;3;4;4;97;1;2;4;1;2;1;3;3;5;1;2;1;2;2;1;1;6;3;2;3;4;2;1;"3";"0.45259396350953";"55098.8846153846"
"11";9;1;1;3;3;97;4;2;97;1;3;5;1;2;2;3;3;5;1;2;2;;;;1;4;5;3;3;2;3;2;"3";"0.45259396350953";"55098.8846153846"
"12";9;1;1;3;3;3;4;2;97;2;3;5;1;2;2;3;3;5;1;2;1;2;2;1;1;5;5;2;3;3;3;1;"3";"0.45259396350953";"55098.8846153846"
"13";9;1;1;2;3;1;1;2;2;1;1;5;1;2;2;2;2;4;6;2;1;1;2;2;1;3;5;2;2;1;3;1;"3";"0.45259396350953";"55098.8846153846"
"14";9;1;1;3;3;2;3;1;3;1;1;2;2;2;1;3;3;5;1;2;1;1;2;1;1;4;6;2;3;2;4;1;"3";"0.45259396350953";"55098.8846153846"
"15";9;1;1;2;3;1;4;2;97;1;1;5;1;2;1;3;2;3;1;2;1;2;2;1;1;4;6;3;3;2;4;2;"3";"0.45259396350953";"55098.8846153846"
"16";12;1;1;2;1;2;3;2;3;1;2;3;1;2;2;2;3;5;1;1;1;2;1;2;1;3;6;3;3;1;4;2;"3";"0.45259396350953";"55098.8846153846"
"17";9;1;1;2;2;97;1;2;2;2;1;3;2;2;1;3;3;4;6;2;2;;;;1;7;2;3;2;4;1;2;"3";"0.45259396350953";"55098.8846153846"
"18";9;1;1;2;3;97;6;2;2;2;1;3;1;1;1;2;1;2;7;2;1;2;2;2;1;5;6;2;2;3;4;1;"3";"0.45259396350953";"55098.8846153846"
"19";11;1;1;2;2;1;3;3;3;2;1;2;1;2;2;2;1;2;8;2;1;2;2;1;1;3;6;2;2;1;4;1;"3";"0.45259396350953";"55098.8846153846"
"20";11;1;1;2;2;1;6;3;2;97;1;4;2;2;1;3;3;4;6;2;1;1;1;2;1;3;5;1;2;1;3;1;"3";"0.45259396350953";"55098.8846153846"
"21";11;1;1;2;3;1;6;2;3;1;1;3;1;2;2;2;2;3;5;2;1;2;2;1;1;3;6;2;3;1;4;1;"3";"0.45259396350953";"55098.8846153846"
"22";11;1;1;3;3;1;5;2;1;1;1;5;1;1;2;3;3;4;2;2;1;1;2;1;1;3;6;2;3;1;4;1;"3";"0.45259396350953";"55098.8846153846"
"23";11;1;1;1;2;1;1;2;2;97;1;3;2;2;1;2;2;3;11;2;97;2;2;1;1;7;2;2;1;4;1;1;"3";"0.45259396350953";"55098.8846153846"
"24";11;1;1;1;1;1;2;1;3;2;1;3;1;2;2;2;3;2;8;2;1;1;2;2;1;1;5;2;2;1;3;1;"3";"0.45259396350953";"55098.8846153846"
"25";12;1;1;2;3;1;5;2;3;1;1;2;1;2;1;3;3;4;1;2;1;2;1;2;1;4;5;3;3;2;3;2;"3";"0.45259396350953";"55098.8846153846"
"26";12;1;1;3;3;2;1;1;3;1;1;4;1;1;1;3;3;4;4;1;1;2;1;2;1;3;6;2;3;1;4;1;"3";"0.45259396350953";"55098.8846153846"
"27";7;1;1;1;1;97;5;4;97;97;2;3;1;2;1;1;1;2;9;2;2;;;;1;5;5;2;1;3;3;1;"3";"0.45259396350953";"55098.8846153846"
"28";7;1;1;2;3;1;1;4;3;2;1;3;2;2;1;2;3;2;6;2;1;1;1;1;1;3;5;1;2;1;3;1;"3";"0.45259396350953";"55098.8846153846"
"29";7;1;1;1;3;3;2;4;2;1;1;4;1;2;1;2;2;1;11;2;1;1;2;1;1;7;3;2;1;4;2;1;"3";"0.45259396350953";"55098.8846153846"
"30";7;1;1;2;2;2;5;2;3;2;1;2;1;1;1;2;1;1;11;2;1;1;1;1;1;5;5;2;1;3;3;1;"3";"0.45259396350953";"55098.8846153846"
"31";9;1;2;3;1;1;5;1;2;1;2;3;1;2;2;2;1;2;10;1;1;1;2;1;1;7;7;3;1;4;4;2;"1";"0.0343395166283147";"4180.5"
"32";12;1;2;3;3;3;5;1;3;1;1;3;1;2;2;3;3;4;1;2;1;2;97;1;1;4;7;2;3;2;4;1;"1";"0.0343395166283147";"4180.5"
"33";9;1;1;3;3;3;97;1;1;1;1;5;1;1;2;3;3;5;1;2;1;2;1;1;1;5;7;4;3;3;4;3;"3";"0.307493409057117";"37434.3125"
"34";9;1;1;3;3;1;2;2;2;1;1;5;1;2;2;2;3;3;5;2;1;1;1;1;1;3;7;3;3;1;4;2;"3";"0.307493409057117";"37434.3125"
"35";9;1;1;2;2;1;4;1;3;1;1;4;1;2;1;2;2;3;11;1;1;2;2;2;1;4;7;5;1;2;4;3;"3";"0.307493409057117";"37434.3125"
"36";9;1;1;3;3;2;5;2;3;1;1;5;1;2;2;3;2;5;5;2;1;2;1;1;1;5;7;3;3;3;4;2;"3";"0.307493409057117";"37434.3125"
"37";9;1;1;3;3;3;4;1;1;1;1;5;1;2;1;1;3;3;1;1;1;2;1;2;1;6;7;4;3;4;4;3;"3";"0.307493409057117";"37434.3125"
"38";9;1;1;1;3;3;5;3;3;1;2;5;1;1;1;3;3;5;1;2;1;1;1;2;1;4;7;3;3;2;4;2;"3";"0.307493409057117";"37434.3125"
"39";9;1;1;2;2;1;4;2;2;1;1;4;1;2;2;3;2;4;5;1;1;2;1;1;1;5;7;2;3;3;4;1;"3";"0.307493409057117";"37434.3125"
"40";9;1;1;3;3;3;4;1;2;2;3;5;1;2;2;2;2;3;6;2;1;2;1;1;1;6;7;1;2;4;4;1;"3";"0.307493409057117";"37434.3125"
"41";11;1;1;3;3;1;1;1;1;2;1;4;1;1;1;3;3;5;2;2;1;1;1;2;1;5;7;2;3;3;4;1;"3";"0.307493409057117";"37434.3125"
"42";11;1;1;2;3;1;4;2;2;2;1;5;1;2;2;3;3;4;1;1;1;2;2;1;1;4;7;4;3;2;4;3;"3";"0.307493409057117";"37434.3125"
"43";11;1;1;3;2;2;6;4;1;1;1;5;2;1;2;3;2;4;1;1;1;2;2;2;1;6;7;3;3;4;4;2;"3";"0.307493409057117";"37434.3125"
"44";12;1;1;1;1;1;4;2;3;1;2;4;1;1;2;2;2;3;4;1;1;2;2;1;1;6;7;4;3;4;4;3;"3";"0.307493409057117";"37434.3125"
"45";12;1;1;2;2;2;5;2;2;1;1;2;1;2;2;2;2;2;9;2;1;1;2;1;1;4;7;3;1;2;4;2;"3";"0.307493409057117";"37434.3125"
"46";7;1;1;3;1;2;4;1;1;1;1;3;1;97;1;2;3;3;4;1;1;2;1;2;1;4;7;5;3;2;4;3;"3";"0.307493409057117";"37434.3125"
"47";7;1;1;3;3;3;4;1;3;1;3;5;1;2;2;3;3;5;1;2;1;2;2;1;1;6;7;5;3;4;4;3;"3";"0.307493409057117";"37434.3125"
"48";7;1;1;3;3;3;4;2;3;1;1;5;1;1;1;3;2;5;1;2;1;2;1;1;1;4;7;4;3;2;4;3;"3";"0.307493409057117";"37434.3125"
"49";7;1;2;2;2;1;4;4;2;1;1;3;1;2;2;2;3;3;1;2;1;1;1;1;2;7;5;3;3;4;3;2;"1";"1.04052719277004";"126674"
"50";11;1;2;3;3;1;4;4;2;1;1;4;1;1;1;3;2;4;7;2;2;;;;2;4;2;2;2;2;1;1;"2";"6.23154004550215";"758629"
"51";7;1;2;1;1;97;5;4;1;3;3;5;1;2;2;3;3;5;1;2;2;;;;2;3;4;2;3;1;2;1;"2";"6.23154004550215";"758629"
"52";9;1;2;3;3;2;6;3;3;97;3;5;1;2;2;3;3;5;6;2;1;2;1;1;2;6;5;4;2;4;3;3;"2";"6.23154004550215";"758629"
"53";9;1;2;3;2;3;4;1;97;2;3;5;1;2;1;3;3;5;3;2;1;2;1;1;2;4;5;3;3;2;3;2;"2";"6.23154004550215";"758629"
"54";11;1;1;3;3;97;1;1;1;1;1;5;2;2;2;3;3;4;3;1;2;;;;2;3;6;1;3;1;4;1;"3";"0.788070402984159";"95939.8571428571"
"55";7;1;1;1;3;1;6;2;3;2;1;4;1;2;2;3;3;4;4;1;1;2;2;2;2;3;5;1;3;1;3;1;"3";"0.788070402984159";"95939.8571428571"
