"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10";"P11_1";"P11_2";"P11_3";"P12";"P13";"P14";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_1";"P18_2";"P18_3";"P18_4";"P19";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P20_6";"P21_1";"P21_2";"P21_3";"P21_4";"P22";"P23";"P27";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P37";"P38";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"W1";"W2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_TRAB"
"1";7;2;2;1;5;3;2;97;2;2;3;2;3;1;2;1;1;2;2;2;1;1;2;2;1;1;2;1;2;2;1;1;3;3;2;2;;2;1;2;1;2;2;;2;1;3;5;5;1;2;2;2;2;2;3;0,271920271681413;1266,25410681855;6003369,09289076;2212370,50632613;4456488,23198482;2119512,79353112;856244,0817912
"2";6;2;2;1;4;4;2;1;2;2;2;2;1;1;3;2;2;2;2;2;4;1;1;4;1;1;2;4;4;4;4;4;2;4;4;2;;2;1;3;1;1;;;2;2;3;2;2;1;3;1;1;2;2;1;0,541570905257224;25742,1496883382;20598732,7713667;8924923,73398304;10459729,3625997;11625346,6476257;21249094,3854223
"3";21;2;1;1;1;2;1;2;1;2;3;1;2;1;3;2;2;2;3;2;1;1;1;4;2;3;1;2;4;3;1;1;2;3;4;3;3;1;3;3;1;1;;;2;3;97;1;1;3;3;1;1;97;2;2;0,28346952658676;13936,4319474966;6782295,47091322;4323565,77363878;9550655,77936565;3745107,25072326;7350973,73893233
"4";26;2;2;2;5;1;3;1;2;2;2;2;1;1;2;2;4;1;3;2;4;2;1;4;1;1;2;2;3;1;1;1;4;3;3;3;2;1;3;4;1;2;4;;1;3;3;3;4;3;4;2;2;2;1;3;1,68017555134875;5640,0483731242;37785788,021294;11827409,4960741;27019219,8719441;16986541,0890921;5621158,26628468
"5";9;2;1;3;6;3;3;1;2;2;3;2;2;1;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;4;2;1;;;1;2;2;5;4;3;4;1;1;1;1;1;0,321052016154404;5351,97297396563;6003369,09289076;1986741,61793614;6774440,12421244;2974499,82286506;7845449,59832215
"6";22;1;2;1;5;4;2;1;1;2;3;2;3;1;3;2;3;1;2;3;3;2;2;2;3;2;2;3;3;2;2;3;3;3;2;3;1;1;3;2;2;2;6;1;2;1;3;1;1;3;1;2;2;2;2;1;0,398750550260834;13415,80789492;6782295,47091322;4323565,77363878;9550655,77936565;4880767,54450081;972423,15925125
"7";19;2;3;1;5;2;1;2;1;2;1;2;3;1;1;3;3;2;2;2;3;2;2;1;2;1;2;4;3;2;1;2;3;3;3;3;2;2;3;3;1;2;6;2;1;1;97;3;3;3;3;3;2;97;1;2;0,781154779015337;38398,3422854528;33575137,8555733;12559183,0844821;27019219,8719441;22358434,1987158;23436201,008573
"8";14;97;3;1;7;2;2;2;2;2;3;2;1;97;;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;97;;2;3;3;1;2;6;1;2;1;2;1;2;3;3;2;2;1;2;2;0,233722191703076;939,813553666022;6445651,30382502;2817899,63437748;9550655,77936565;3745107,25072326;972423,15925125
"9";9;1;1;1;4;2;1;1;1;2;1;2;1;1;2;2;3;1;2;2;2;1;1;1;1;1;2;2;1;3;2;3;3;4;3;2;;2;3;2;2;1;;;2;1;3;5;3;3;1;1;1;2;2;2;0,128420806461762;12577,4825210658;6003369,09289076;2422682,73111292;6774440,12421244;4043947,93463002;7845449,59832215
"10";3;1;2;1;6;1;2;1;1;2;1;3;1;1;2;2;3;2;3;2;3;2;1;3;2;1;2;2;3;3;2;4;2;3;3;3;2;2;3;4;1;1;;;1;3;5;1;1;3;4;1;1;3;1;3;0,251265473921803;11413,2939825566;6445651,30382502;4323565,77363878;9550655,77936565;2248311,9098027;7350973,73893233
