"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"1";24;2;1;1;3;5;4;2;2;2;3;3;1;3;2;;1;3;2;2;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;2;;;;;;;;;;2;1;2;1;1;1;2;4;2;2;3;3;2;2;1;;5;1;97;0;0;0;0;;1;2;1;3;2;1;1;97;1;1;20907410,4102155;13054252,8137814;27097050,3254786;7314042,008035;19136323,710005;0,0736661734289707;6282,93507653845
"2";25;2;1;1;97;6;;2;1;1;2;3;3;2;2;;3;3;1;2;1;97;1;2;2;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;1;1;2;2;4;2;1;3;2;1;1;;;3;1;2;0;0;0;0;;1;2;5;3;2;1;1;1;1;2;22937254,8699374;7668933,99399618;27097050,3254786;7314042,008035;14013646,6711406;0,934305081189558;22180,4753575961
"3";52;97;2;;2;3;;3;2;2;2;2;5;2;1;2;1;2;1;2;97;1;1;1;1;1;2;1;1;1;2;1;1;1;2;2;2;2;1;2;2;2;;;;;;;;;;2;1;97;2;2;97;1;4;97;1;2;3;1;2;2;2;;2;1;0;0;0;0;;1;5;1;2;3;3;2;1;2;3;6471216,17364217;3709383,01387224;1277187,21734867;3698976,34110253;5140756,49169244;1,17830452646159;36068,3119291225
"4";31;2;1;1;4;4;;2;2;2;3;3;1;3;1;2;1;2;2;1;1;4;2;1;2;2;2;1;1;1;1;1;2;2;2;1;2;2;1;1;2;2;;;;;;;;;;2;1;1;2;1;2;1;2;2;2;1;2;1;2;2;2;;1;97;0;0;0;0;;1;3;5;1;2;3;2;97;1;3;34307260,1788924;14834776,5503979;36770761,9610572;11642723,335758;28876180,8506565;3,81264672620734;68278,9209171263
"5";23;2;2;;1;3;;1;1;2;3;3;4;2;1;2;1;1;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;3;2;2;2;2;2;1;2;2;2;2;2;3;2;2;1;4;1;2;2;2;;1;4;0;0;0;0;;1;2;3;1;4;3;2;3;1;3;20907410,4102155;7934345,66230122;10746878,5794495;6474733,97617184;10694694,8990073;0,849862992295481;6342,53069320846
"6";21;2;1;2;3;1;;1;1;2;2;2;2;2;1;2;1;2;1;1;1;3;2;1;1;1;97;1;1;1;2;2;;;1;;;;1;1;1;;;;;;;;;;;1;1;1;2;1;2;2;1;1;1;3;3;1;2;1;;5;1;3;0;0;0;0;1;1;2;5;3;3;1;1;2;1;1;22937254,8699374;7668933,99399618;27097050,3254786;12966305,9052789;19136323,710005;0,308364631819482;13198,3032536315
"7";21;2;1;2;2;5;5;2;2;2;3;3;3;3;1;2;1;2;2;1;1;2;2;1;2;2;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;2;2;2;3;2;2;2;4;2;1;;;1;1;3;0;0;0;0;;1;2;1;2;4;1;1;2;1;2;20907410,4102155;13054252,8137814;5581173,8955491;6474733,97617184;14013646,6711406;0,205576421212988;4203,84289241874
"8";32;2;1;2;4;1;;2;2;2;3;3;3;3;2;;3;3;2;2;1;5;1;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;1;1;1;1;2;2;2;4;2;1;3;1;;2;2;2;;1;2;0;0;0;0;;1;3;5;3;1;3;2;1;1;1;37266731,3639616;14834776,5503979;26349818,4883615;18000789,3565969;14459139,9055021;1,18510890664716;53746,9101933213
"9";15;2;1;1;1;1;;1;1;2;3;2;1;2;1;2;1;2;1;1;1;2;2;2;2;2;1;1;2;1;2;2;1;97;2;2;2;2;2;1;1;2;;;;;;;;;;2;1;2;2;1;2;2;4;2;1;97;3;1;2;1;;3;2;2;1;0;0;1;;0;1;3;3;3;1;1;1;2;1;6858908,59017553;2440573,74107289;9643625,74810525;4331620,75185869;4488406,66344907;0,56143908756424;13698,1382260249
"10";42;2;1;2;1;4;;1;1;1;2;3;2;2;1;1;1;2;2;1;1;4;2;2;2;2;1;1;2;2;1;2;1;2;2;1;2;2;2;2;2;1;1;1;2;3;3;3;2;1;3;1;1;1;2;2;2;2;1;1;1;3;6;;1;;;2;1;5;0;0;0;0;1;1;4;3;3;4;1;1;3;1;3;12236801,2346068;4174819,25961168;4879278,13486164;5770094,98942702;4490598,96948101;0,716100169557645;2888,54608090461
"11";21;1;2;;1;6;;2;1;2;2;2;1;2;1;1;1;2;2;2;1;6;1;97;2;1;1;1;1;1;1;1;97;2;2;1;2;1;2;1;1;1;2;2;2;2;3;3;3;2;2;2;2;1;1;2;1;1;3;1;2;3;3;1;1;;;5;5;4;0;0;0;0;2;1;2;3;3;3;1;1;3;3;2;20907410,4102155;7934345,66230122;27097050,3254786;12966305,9052789;14013646,6711406;0,205576421212988;4299,95295221139
"12";25;2;2;;2;5;5;2;2;2;2;2;3;2;1;2;1;2;2;1;1;2;2;1;2;1;1;1;2;2;2;1;1;2;2;1;2;1;1;1;2;2;;;;;;;;;;1;1;1;2;2;2;2;1;2;1;3;3;1;2;2;2;;1;2;1;0;0;1;;0;2;1;3;3;3;2;1;1;1;22937254,8699374;13054252,8137814;27097050,3254786;12966305,9052789;19136323,710005;0,23357627029739;17890,9395743046
"13";25;2;1;2;1;3;;1;1;1;3;3;1;3;1;1;1;3;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;1;1;2;2;3;3;3;1;1;1;2;1;1;2;2;2;2;4;1;2;1;4;2;2;1;;5;1;2;0;0;0;0;1;1;2;2;1;4;1;1;1;1;3;20907410,4102155;9185405,92676254;10746878,5794495;6474733,97617184;10694694,8990073;0,116788135148695;1168,98968529173
"14";51;97;2;;3;3;;2;2;2;2;2;3;3;2;;2;2;1;2;1;2;1;2;2;1;1;1;2;2;1;2;1;2;1;2;2;1;2;2;2;2;;;;;;;;;;97;1;1;2;1;1;2;4;2;1;2;3;2;1;;;1;1;2;0;0;0;0;;1;5;1;2;2;1;1;1;1;2;6471216,17364217;3709383,01387224;1277187,21734867;2242377,00963367;3584496,45170473;0,286800299223655;9020,80731068538
"15";17;1;1;2;4;5;5;2;2;2;3;3;1;2;2;;2;2;2;1;1;1;2;1;1;2;1;1;2;2;2;1;1;1;1;1;2;1;2;1;1;2;;;;;;;;;;2;1;2;2;2;2;1;4;2;2;3;3;2;2;1;;6;2;97;0;0;0;0;;1;1;1;3;2;1;1;97;2;2;6773138,38201185;4671519,09130945;9643625,74810525;2424907,60474098;5475108,39068382;0,117290313156604;6419,60224607614
"16";35;2;2;;3;1;;2;2;2;3;3;2;2;1;3;1;2;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;2;;;;;;;;;;2;2;2;2;2;2;2;4;2;1;3;3;1;1;;;3;4;3;0;0;0;0;;1;3;4;3;3;1;1;2;3;3;37266731,3639616;10817844,4188551;26349818,4883615;23585402,4563219;28876180,8506565;8,11800670859218;147692,173806874
"17";31;2;1;2;2;5;5;1;2;2;2;3;1;97;1;2;1;97;2;1;3;6;2;1;2;2;1;1;2;1;2;2;2;2;2;1;2;2;2;1;1;1;2;3;2;2;3;3;2;3;2;1;1;1;2;2;2;2;1;2;2;1;3;2;2;2;1;;4;97;1;0;0;1;;0;3;1;1;2;2;2;97;3;1;34307260,1788924;18615364,7082317;36770761,9610572;11642723,335758;14459139,9055021;2,07694757223493;120129,598538536
"18";24;1;2;;1;5;97;1;1;1;1;2;3;3;1;1;1;2;2;1;1;3;97;2;2;2;1;1;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;1;2;3;1;2;1;1;1;1;1;2;2;2;1;2;3;1;2;1;4;1;1;;;5;1;3;0;0;0;0;9;1;2;3;1;4;1;1;2;1;1;20907410,4102155;7934345,66230122;10746878,5794495;6474733,97617184;19136323,710005;0,128915803500699;2415,11217694771
"19";22;2;1;1;1;97;;2;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;;;;;;;2;1;1;2;2;2;2;4;2;2;3;4;1;1;;;1;2;2;0;0;0;0;;1;2;1;3;4;1;1;1;2;3;20907410,4102155;13054252,8137814;27097050,3254786;6474733,97617184;10694694,8990073;0,211582549762385;3639,53690417353
"20";23;2;2;;4;1;;2;2;2;2;3;1;3;2;;3;2;1;1;3;5;1;2;1;2;1;1;1;1;2;2;1;2;2;1;1;1;2;1;2;2;;;;;;;;;;1;1;1;2;1;1;1;4;2;2;3;3;1;1;;;2;1;2;1;0;0;1;;0;2;2;3;3;1;1;1;1;2;20907410,4102155;9185405,92676254;27097050,3254786;12966305,9052789;14013646,6711406;0,849862992295481;23841,7218196051
