iter	TotalF1	MultiClass
0	0.5807229418	1.078423371
1	0.5903284044	1.06034641
2	0.593007668	1.043997043
3	0.5983228195	1.029122866
4	0.598387638	1.015820882
5	0.6034045204	1.003446091
6	0.6052471344	0.9920607774
7	0.6082841537	0.9814928074
8	0.609648642	0.9716773266
9	0.6092960567	0.9625960731
10	0.6092499578	0.9541996076
11	0.609711085	0.946535564
12	0.6107351924	0.9393360542
13	0.6115424194	0.9325820524
14	0.6093622502	0.9261576682
15	0.6093082156	0.920228995
16	0.6115246715	0.9146639636
17	0.6106732248	0.9094107045
18	0.6118024133	0.9045178237
19	0.6144340743	0.8998454054
20	0.6170877303	0.8952797118
21	0.6165250951	0.8909443409
22	0.6173632213	0.8869912209
23	0.6190546516	0.8832674515
24	0.618620751	0.8797892114
25	0.6182327865	0.876357633
26	0.6187796581	0.8730682616
27	0.6186735455	0.8699893539
28	0.6186103241	0.8669930763
29	0.6196759939	0.8641726133
30	0.6203606487	0.8615499069
31	0.6212228527	0.8589994845
32	0.6217746919	0.8564049001
33	0.6232957411	0.8540693159
34	0.6230995457	0.8518814938
35	0.6249651734	0.849657356
36	0.626027752	0.8474083598
37	0.6257181262	0.8452029006
38	0.6254885582	0.8432090855
39	0.6264407032	0.8411037545
40	0.6290331551	0.8392045821
41	0.6284458934	0.8372850646
42	0.6291445185	0.8356694036
43	0.6288331413	0.8339456986
44	0.629330017	0.8323838513
45	0.6304700733	0.8308040892
46	0.6290109725	0.8293219557
47	0.6309864789	0.8277508038
48	0.6314908517	0.8262765166
49	0.6304848695	0.8247944525
50	0.6315387836	0.8233762704
51	0.6319043616	0.8219982924
52	0.6332375542	0.8208921604
53	0.6322332685	0.8196112554
54	0.6331588582	0.8185278987
55	0.6329418995	0.8173473996
56	0.6342371795	0.8161644008
57	0.6338213207	0.8150276471
58	0.6342726798	0.8139826891
59	0.6345561874	0.8129057206
60	0.6357042106	0.8118024355
61	0.6360638435	0.810755811
62	0.6360974476	0.8095364272
63	0.6370973012	0.8084893167
64	0.6368170145	0.8076217009
65	0.6379081933	0.8066435414
66	0.6380029206	0.8056064992
67	0.6390271559	0.8048283183
68	0.6389892405	0.8039471623
69	0.6392221458	0.8030619789
70	0.6402828714	0.8021572838
71	0.6408054453	0.801388963
72	0.6413849535	0.8004419112
73	0.6410118929	0.7996955325
74	0.6418969002	0.7988603438
75	0.6413373869	0.7981310466
76	0.642334987	0.7973266185
77	0.6419814284	0.7965968352
78	0.6430574651	0.7959540566
79	0.6432029553	0.7952760039
80	0.6435745954	0.7945613579
81	0.644652689	0.7937726226
82	0.643854805	0.7931752558
83	0.6445861765	0.7925085908
84	0.64540346	0.7917938059
85	0.6456672485	0.791011806
86	0.6458169841	0.7902498039
87	0.6456634527	0.7895805697
88	0.6460271285	0.7887746835
89	0.6466467924	0.7881291968
90	0.6473227994	0.7874943339
91	0.6477020911	0.7868072544
92	0.6495148765	0.786168156
93	0.6491910402	0.785574261
94	0.6489178303	0.7848637812
95	0.648481501	0.7843073128
96	0.6477057261	0.7835348257
97	0.6483934866	0.7829548182
98	0.6494311021	0.782418417
99	0.649808019	0.7817185611
100	0.6497394657	0.7812054214
101	0.6500359445	0.7807619965
102	0.6503691485	0.7801338691
103	0.6510054424	0.7795787894
104	0.6516975593	0.7790012815
105	0.6510682609	0.7783734318
106	0.6520858554	0.7779245908
107	0.6521587346	0.7773827736
108	0.6524858062	0.7768819243
109	0.6529823419	0.7763861438
110	0.6529886829	0.7759654942
111	0.6533476323	0.7755382481
112	0.6538275997	0.7749806687
113	0.6539707418	0.7744901655
114	0.6540961729	0.7740111888
115	0.6540961096	0.7734693716
116	0.653792093	0.7729827568
117	0.6548497483	0.7724887818
118	0.6548416392	0.7719970981
119	0.6551173187	0.7716550512
120	0.6557439847	0.7712282218
121	0.6559464939	0.7708600666
122	0.6562404119	0.7703646333
123	0.6561713865	0.7699564824
124	0.6565888842	0.7695648575
125	0.6562988699	0.7691124058
126	0.6567852783	0.7686730082
127	0.657350261	0.7681683398
128	0.6574195384	0.7678384445
129	0.6575809569	0.7672435774
130	0.6576549197	0.7668044575
131	0.6579644505	0.7664005423
132	0.6584665738	0.7659277455
133	0.6588808897	0.7654195358
134	0.659002788	0.7649993029
135	0.6597792236	0.7646405911
136	0.6602004793	0.76428674
137	0.6604267358	0.763880325
138	0.6601412311	0.7635136974
139	0.6599383871	0.7630990889
140	0.6602750429	0.7625846299
141	0.6610578271	0.7620534365
142	0.6609171611	0.7616307038
143	0.6605866862	0.7611797797
144	0.6615680925	0.7606282413
145	0.662062824	0.7602297422
146	0.6619940046	0.7596827172
147	0.6620464459	0.7592994942
148	0.6621005593	0.7587729531
149	0.6620297993	0.7584070894
150	0.662876655	0.7580667784
151	0.6637396837	0.7576512672
152	0.664179028	0.7571001454
153	0.6643862693	0.7567060208
154	0.663829619	0.7564153574
155	0.6639742572	0.7560703247
156	0.6642571368	0.7556290523
157	0.6653833981	0.755122162
158	0.6660329286	0.7548035848
159	0.6663173447	0.7544166817
160	0.6677393339	0.7540074892
