iter	Passed	Remaining
0	13	9441
1	25	8958
2	36	8401
3	47	8290
4	58	8133
5	69	8012
6	79	7892
7	89	7723
8	98	7588
9	109	7546
10	118	7394
11	129	7414
12	154	8156
13	164	8056
14	175	8027
15	185	7937
16	198	7959
17	209	7925
18	221	7925
19	234	7966
20	244	7918
21	255	7859
22	264	7799
23	276	7774
24	292	7885
25	305	7928
26	315	7858
27	328	7877
28	340	7880
29	352	7867
30	363	7839
31	374	7813
32	390	7889
33	401	7862
34	411	7826
35	429	7925
36	441	7912
37	452	7876
38	462	7844
39	477	7884
40	489	7867
41	500	7839
42	510	7804
43	524	7812
44	535	7797
45	547	7779
46	559	7766
47	570	7745
48	580	7711
49	590	7678
50	601	7657
51	611	7620
52	623	7612
53	634	7584
54	646	7579
55	657	7558
56	668	7546
57	678	7509
58	689	7488
59	699	7459
60	709	7432
61	720	7413
62	730	7387
63	741	7364
64	763	7454
65	772	7422
66	784	7410
67	794	7383
68	815	7456
69	825	7426
70	835	7403
71	845	7373
72	856	7352
73	868	7346
74	877	7314
75	887	7284
76	897	7260
77	906	7232
78	919	7225
79	931	7217
80	942	7198
81	954	7192
82	964	7170
83	974	7143
84	983	7117
85	993	7094
86	1002	7063
87	1013	7046
88	1021	7014
89	1031	6990
90	1040	6960
91	1051	6948
92	1061	6926
93	1071	6910
94	1084	6908
95	1095	6893
96	1104	6864
97	1115	6850
98	1126	6839
99	1136	6819
100	1150	6823
101	1163	6820
102	1173	6800
103	1185	6792
104	1196	6781
105	1206	6762
106	1216	6739
107	1225	6715
108	1233	6687
109	1244	6673
110	1253	6652
111	1264	6637
112	1273	6614
113	1282	6593
114	1292	6573
115	1300	6549
116	1311	6534
117	1323	6525
118	1331	6500
119	1340	6480
120	1349	6458
121	1360	6444
122	1369	6423
123	1380	6414
124	1392	6403
125	1401	6382
126	1411	6369
127	1422	6356
128	1435	6354
129	1447	6344
130	1459	6338
131	1469	6325
132	1480	6311
133	1490	6293
134	1500	6281
135	1510	6266
136	1520	6250
137	1529	6229
138	1539	6212
139	1548	6193
140	1558	6180
141	1567	6159
142	1577	6142
143	1585	6121
144	1597	6113
145	1610	6111
146	1631	6136
147	1643	6127
148	1651	6108
149	1661	6092
150	1670	6074
151	1679	6056
152	1689	6039
153	1698	6023
154	1708	6006
155	1722	6006
156	1744	6033
157	1755	6021
158	1764	6004
159	1774	5988
160	1786	5980
